VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJSA1CN6D,King,Seattle,WA,98136,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,34,239854359,POINT (-122.38415 47.53755),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010601
KNDJX3AE1G,Thurston,Lacey,WA,98503,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,22,196263910,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011300
5YJSA1H18E,Pierce,Tacoma,WA,98406,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,28,240027210,POINT (-122.52082 47.26887),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053060908
5YJSA1CN7D,Pierce,Sumner,WA,98390,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,31,180844639,POINT (-122.23972 47.2022),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053073302
WBA8E1C52J,King,Auburn,WA,98092,2018,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,45600,31,247393870,POINT (-122.1821 47.3199),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031204
YV4BR0PL6J,King,Seattle,WA,98119,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,64950,36,112645242,POINT (-122.3684 47.64586),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006900
WBA8E1C5XJ,Snohomish,Edmonds,WA,98026,2018,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,45600,21,202990462,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050101
KNDJX3AE0G,King,Carnation,WA,98014,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,5,151059863,POINT (-121.91353 47.64901),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032315
KNDJP3AE9G,Snohomish,Lynnwood,WA,98036,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,32,204303543,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051930
KNDJX3AE2G,Snohomish,Snohomish,WA,98296,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,44,303656587,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,53061052120
WBA7J2C37H,Chelan,Wenatchee,WA,98801,2017,BMW,740E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,89100,12,144681414,POINT (-120.30522 47.41494),PUD NO 1 OF CHELAN COUNTY,53007961304
JF2GTDNC8K,Benton,Richland,WA,99352,2019,SUBARU,CROSSTREK,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,34995,8,477210429,POINT (-119.27372 46.27391),BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),53005010817
YV4BR0PL5J,King,Sammamish,WA,98075,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,64950,41,238653978,POINT (-122.03539 47.61344),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032215
LYVBR0DK7J,King,Snoqualmie,WA,98065,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,5,129014315,POINT (-121.82432 47.52716),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032603
WMZYU7C51K,Yakima,Yakima,WA,98902,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12,36900,14,146830148,POINT (-120.52401 46.59739),PACIFICORP,53077001000
WBA8E1C51H,Spokane,Liberty Lake,WA,99019,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,44100,4,232251736,POINT (-117.1015 47.66829),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063013205
KNDJX3AE5H,Snohomish,Everett,WA,98208,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,44,268975339,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041609
LYVBR0DL1J,Kitsap,Port Orchard,WA,98367,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,35,168492047,POINT (-122.68516 47.50645),PUGET SOUND ENERGY INC,53035092901
5YJSA1H11E,Franklin,Pasco,WA,99301,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,9,349850749,POINT (-119.09467 46.23542),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF FRANKLIN COUNTY,53021020603
KNDJX3AE5H,Spokane,Otis Orchards,WA,99027,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,4,324056015,POINT (-117.11195 47.70763),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063013201
KNDJX3AE0G,Pierce,Anderson Island,WA,98303,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,28,235620556,POINT (-122.67876 47.17794),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072603
5YJSA1DP6D,Snohomish,Edmonds,WA,98020,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,21,5214422,POINT (-122.37689 47.81116),PUGET SOUND ENERGY INC,53061050502
WBAJA9C50J,Pierce,Tacoma,WA,98422,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,52650,27,168777535,POINT (-122.37683 47.28642),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053940008
WBAJA9C5XJ,Grays Harbor,Ocean Shores,WA,98569,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,52650,24,142412581,POINT (-124.16408 47.01156),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY,53027000201
